epoch,train_loss,train_acc,val_loss,val_acc
1,0.765913122143615,83.5518102372035,0.5226765664294362,86.5814696485623
2,0.20084616640091535,95.61485642946317,0.4121365430764854,88.01916932907348
3,0.12278995792664106,97.64357053682896,0.3489989084890112,88.9776357827476
4,0.08800583903617527,98.28339575530586,0.30525191908236593,90.41533546325878
5,0.0646408817438937,99.03245942571785,0.3311889278702438,89.29712460063898
6,0.05091433125589766,99.31335830212235,0.2848228910472244,91.21405750798722
7,0.039897432536887587,99.57865168539325,0.27982864414807407,90.57507987220447
8,0.032655205702714955,99.71910112359551,0.2874136153841391,91.05431309904154
9,0.027265709340665027,99.82833957553059,0.272745361039415,90.89456869009585
10,0.022850917446061006,99.92197253433208,0.281571586249629,91.05431309904154
