epoch,train_loss,train_acc,val_loss,val_acc
1,2.756000577513851,24.094881398252184,2.416195437312126,33.22683706070288
2,2.0262236245235994,38.81086142322097,1.8294844508171082,42.17252396166134
3,1.4781395950127596,52.980649188514356,1.3580699652433394,59.105431309904155
4,1.0522599098694265,66.58863920099876,1.3224856808781624,60.86261980830671
5,0.8111766295053473,73.65792759051186,1.0928553299978376,67.57188498402556
6,0.6332034389326229,79.229088639201,0.9588082494214177,72.04472843450479
7,0.466483312496795,84.5661672908864,0.8829530799761415,74.76038338658147
8,0.3699260798111484,87.39076154806492,0.8807222544215619,76.51757188498402
9,0.30151021321169774,89.85642946317104,1.100794327724725,73.00319488817891
10,0.2591106484259539,91.21410736579276,1.0410939801484347,75.71884984025559
