epoch,train_loss,train_acc,val_loss,val_acc
1,1.041079113213577,81.47627965043695,0.46189375491812823,89.1373801916933
2,0.11425554973249374,96.58239700374531,0.34832519223273267,92.49201277955271
3,0.022629012963016382,99.3601747815231,0.4391675311344443,91.21405750798722
4,0.010976856875372934,99.71910112359551,0.4888754699026322,91.53354632587859
5,0.0002707751138859593,100.0,0.5329409928197493,92.17252396166134
6,9.715025300999573e-05,100.0,0.5570889611592065,92.17252396166134
7,6.004140404334677e-05,100.0,0.574280765598769,92.17252396166134
8,4.152520534434238e-05,100.0,0.5894664525972985,92.17252396166134
9,3.091591738428912e-05,100.0,0.6011285508427135,92.17252396166134
10,2.394118377959156e-05,100.0,0.6127208797328876,92.17252396166134
